repo,lang,typeCount,stratum
CourseOrchestra__hurdy-gurdy,Java,23,small
alina-yur__swiss-travel-advisor,Java,25,small
jonashackt__cxf-spring-cloud-netflix-docker,Java,37,small
jenkinsci__jenkins-multijob-plugin,Java,38,small
jenkinsci__dockerhub-notification-plugin,Java,34,small
ericgrandt__TotalEconomy,Java,39,small
Cantara__Java-Auto-Update,Java,27,small
societe-generale__arch-unit-build-plugin-core,Java,36,small
bsommerfeld__jshepherd,Java,27,small
nitrado__hytale-plugin-webserver,Java,39,small
Andre601__OneVersionRemake,Java,23,small
yananlemon__LemonC,Java,26,small
taowater__ztream,Java,28,small
jenkinsci__docker-commons-plugin,Java,32,small
jenkinsci__git-forensics-plugin,Java,31,small
ralscha__webauthn-demo,Java,25,small
Tater-Certified__Oxidizium,Java,38,small
jenkins-infra__repository-permissions-updater,Java,31,small
micronaut-projects__micronaut-mongodb,Java,36,small
liquibase__liquibase-percona,Java,23,small
micronaut-projects__micronaut-aot,Java,42,small
jonas-grgt__bob,Java,34,small
jenkinsci__dependency-track-plugin,Java,40,small
Zergatul__cheatutils,Java,29,small
WiIIiam278__PAPIProxyBridge,Java,32,small
quarkiverse__quarkus-fx,Java,48,medium
gradlex-org__jvm-dependency-conflict-resolution,Java,79,medium
wso2__maven-tools,Java,63,medium
66-m__sorting-visualizer,Java,82,medium
TheodoreMeyer__SimpleVoice-Geyser,Java,74,medium
debezium__debezium-operator,Java,99,medium
spdx__Spdx-Java-Library,Java,45,medium
LWJGLX__debug,Java,60,medium
jesuino__java-ml-projects,Java,55,medium
xdev-software__vaadin-grid-exporter,Java,69,medium
Crazy-Crew__CrazyEnvoys,Java,65,medium
exbin__bined-intellij-plugin,Java,64,medium
vennarshulytz__validation-parent,Java,86,medium
bitcoinj__secp256k1-jdk,Java,61,medium
atp-mipt__jsyntrax,Java,46,medium
kbuntrock__openapi-maven-plugin,Java,86,medium
Bawnorton__Neruina,Java,56,medium
jeyben__fixedformat4j,Java,97,medium
JetBrains__teamcity-kubernetes-plugin,Java,52,medium
quarkiverse__quarkus-web-bundler,Java,77,medium
gradle__develocity-build-config-samples,Java,58,medium
AlexProgrammerDE__PistonChat,Java,76,medium
micronaut-projects__micronaut-graphql,Java,73,medium
PaperMC__adventure-platform-mod,Java,71,medium
CloudburstMC__Network,Java,82,medium
metao1__microservice-online-store,Java,193,large
AuthMe__ConfigMe,Java,113,large
sbabcoc__Selenium-Foundation,Java,155,large
hhy50__macaque-hotswap,Java,191,large
tzebrowski__ObdMetrics,Java,172,large
The-OAG-Development-Project__Application-Gateway,Java,136,large
Kiroha__byd-dashcast,Java,127,large
SmartWalkieOrg__VoicePing-Walkie-Talkie-AndroidSDK,Java,177,large
DFOnline__CodeClient,Java,188,large
arconia-io__arconia-cli,Java,107,large
apache__commons-statistics,Java,190,large
Files-com__files-sdk-java,Java,169,large
wultra__powerauth-push-server,Java,158,large
xdev-software__vaadin-maps-leaflet-flow,Java,125,large
wish131400__zstdnet,Java,130,large
aws__aws-xray-sdk-java,Java,155,large
yangSpica27__SPICaWeather3,Java,142,large
hal__elemento,Java,180,large
palantir__conjure-java,Java,170,large
wildfly__jboss-ejb-client,Java,137,large
cybersonic__LuCLI,Java,128,large
mcollovati__quarkus-hilla,Java,150,large
JUKOMU__JMComic-Api-Java,Java,124,large
eclab__seq,Java,146,large
greencapk8s__greencap-k8s,Java,138,large
conda__menuinst,Python,41,small
xDarkzx__Reaper-MCP,Python,36,small
Fratres-X-AI__JamBoy,Python,24,small
SmolinskiP__GLaSSIST,Python,32,small
JesseRWeigel__minecraft-agent-swarm,Python,48,small
fizyk__pyramid_fullauth,Python,46,small
ra1nb0rn__search_vulns,Python,41,small
monosans__pyromark,Python,28,small
jpmorganchase__nbcelltests,Python,31,small
IBM__tnz,Python,31,small
magnus919__hermes-council,Python,31,small
