repository	commit	default_branch	size_kb	rank_hash
AnJiaoDe/TabLayoutNiubility	47a99ef4f9d8900899c688b5b79a41c09a1bef81	master	1200	022c02a3bf101b2fc1830ab50dc068bebe7b29725b2d4513ecd807479d75e5a9
Tickaroo/tikxml	ca8af5a27408e2631b7612ad5457856bc3e9ffc3	master	1487	03128537f30760328d3cd00977460891a5ad78a85da15e6cd1cb5541e93fb213
MaxToyberman/react-native-ssl-pinning	f8cf98b8b2f320816ce6c4a2be22258f2c29e11b	master	491	0312a38b668aebe878c47b997ecb6741f234b187d9ef623813904e744145ad44
alpha037/data-structures-and-algorithms	3532a887ff9d940bc7d131d03e9d075af7399135	main	748	0930e2bcd3e910c7c37b0a54d30b92d5cc087da18bb3ac39de46f74b1b898354
librespot-org/librespot-java	52a8c24215e5a9b921da8e7219c49937ec87ed88	dev	4311	0a9167ed17e1594b4fad90179f7236f09b895d469aba03ee852fcd6e857fde42
wellzhi/springboot-flowable	2e4476fc9e7f01694c910da1721e2eeaba7158d2	master	145	0b7f99579e95d5c26794e27f43ce1a7dc4f4cc0dad47f91280a51c2b8756afbe
kymjs/CJFrameForAndroid	fe01341c553618e3bf0fd061eccf01bcc0f2e85c	master	1985	0d2e74781ff7f953bdbef844fd0f44be58e2cd7056b69a5836959f000e24d4da
yjjdick/sdb-mall	1dd9223b77a3813cde09aedeea8f74cb4aa21536	master	1788	0e4541c3533572ade33d7b6cef821a3c27b48c454229004b5b562c410d544168
BitgetLimited/proof-of-reserves	86209a91d58a4c175bc5be57e9200b3d3bfd3511	main	291	0f8a0e3bf5bcac356b0ad144dc3d5e666a6ed9e2fdb30bb10c7db6d4c466c73a
Enigmatis/graphql-java-annotations	bc517e3c9a11b3160a821de8d266cbd1ef4f3015	master	1696	11b3845d18f82fadde3e3e357b4a2f6756cfeb1972e59c37f21acc9a5b0d9e24
reveny/Android-GUI-Injector	93f9d5c745fd161f30c7b601d3da48e1ee90af47	main	1245	1503bb1c9af59163ce1c63191c746602e8dcbddc752cd269e97d71170b42f5d9
t0thkr1s/allsafe-android	c7329155cbbd0a2079a48bbfcaa23a6666899ee9	master	3282	1923c954aef8b2df1f10d5096841f431298423093a4dfaff83e7e39b1eded8c2
ekoz/kbase-doc	477e1d872c71cb84805f52d753bd05a247f3972b	master	519	1d8f2bd35c3493d85fd655ced22e41fecfdbb73af4b6fce3c8397a16dd7cdf4d
rayokota/kareldb	78e10ec77f6a6824dc0c275cb73831b1aa142b1e	master	919	1e57b8d6969da55125a6153d39aabf1297b1a5757c959c5e2b2075bb1ce99ba9
eduardo-mior/URI-Online-Judge-Solutions	5744d14698fdb5efdcc25dbc407df00c34835ebd	master	1053	1ef0f56b352304b94d33f1764c1ed35d60313d6e91ed5214c84bf6939660d126
shamanland/floating-action-button	602b308c1bcd65cf0a64618d1192d32e8d746281	master	220	1fc461425ee1d6f2f4be8dfb636e7750302fd5bc70033e9c0f82a4cf61d25afd
hearsilent/DiscreteSlider	b751ab4fa09548fa231933c5d5e4c70a02f0781d	master	1591	203bc8544ae1c0795bf4a71e408b64a7f0568c23a033e3d220462b83d1baffe0
ManishK4514/Strivers-A2Z-DSA-Sheet	b1682f09f234e6bd881d4c3ed56b3078e6309cc8	main	622	2068a2166d829ec86e118203598a58f542b44007f6c10f44a183c65f2dd978e9
ggsava/block-this	6c415352c9be96a336d6641e74aa75fcbfa4fa02	master	1921	24dd6518a289c99f5105e489165e927102136df10d30901a7c141aa283429dc7
tpcstld/2048	2863bbe3c96f9fc34f4bf3258b983e53185b86af	master	1315	2c2fb8a3b45b8a619c03bf88548194b22dc9ce9ac75951093c23273d37ec5090
